#Jyutping, CantonesePinyin, Yale, SidneyLau
aa	aa	a	a
aai	aai	aai	aai
aau	aau	aau	aau
aam	aam	aam	aam
aan	aan	aan	aan
aang	aang	aang	aang
aap	aap	aap	aap
aat	aat	aat	aat
aak	aak	aak	aak
ai	ai	ai	ai
au	au	au	au
am	am	am	am
an	an	an	an
ang	ang	ang	ang
ap	ap	ap	ap
at	at	at	at
ak	ak	ak	ak
e	e	e	e
ei	ei	ei	ei
eu	eu	eo	eu	#仅限“調、掉”二字异读。耶鲁与刘锡祥式拼音中无此韵母。刘锡祥式拼音暂用eu。耶鲁式拼音中eu已被“靴”字的韵母占用，暂用eo。
em	em	em	em	#仅限“舐”字异读，耶鲁与刘锡祥式拼音暂用em
eng	eng	eng	eng
ep	ep	ep	ep	#仅限“夾”字异读，耶鲁与刘锡祥式拼音暂用ep
ek	ek	ek	ek
i	i	i	i
iu	iu	iu	iu
im	im	im	im
in	in	in	in
ing	ing	ing	ing
ip	ip	ip	ip
it	it	it	it
ik	ik	ik	ik
o	o	o	oh
oi	oi	oi	oi
ou	ou	ou	o
on	on	on	on
ong	ong	ong	ong
ot	ot	ot	ot
ok	ok	ok	ok
oe	oe	eu	euh
oeng	oeng	eung	eung
oek	oek	euk	euk
eoi	oey	eui	ui
eon	oen	eun	un
eot	oet	eut	ut
u	u	u	oo
ui	ui	ui	ooi
un	un	un	oon
ung	ung	ung	ung
ut	ut	ut	oot
uk	uk	uk	uk
yu	y	yu	ue
yun	yn	yun	uen
yut	yt	yut	uet
m	m	m	m
ng	ng	ng	ng
