#Hiragana, Katakana, Nippon-shiki, Hepburn-shiki
あ	ア	a	a
い	イ	i	i
う	ウ	u	u
え	エ	e	e
お	オ	o	o
や	ヤ	ya	ya
ゆ	ユ	yu	yu
よ	ヨ	yo	yo
か	カ	ka	ka
き	キ	ki	ki
く	ク	ku	ku
け	ケ	ke	ke
こ	コ	ko	ko
きゃ	キャ	kya	kya
きゅ	キュ	kyu	kyu
きょ	キョ	kyo	kyo
さ	サ	sa	sa
し	シ	si	shi
す	ス	su	su
せ	セ	se	se
そ	ソ	so	so
しゃ	シャ	sya	sha
しゅ	シュ	syu	shu
しょ	ショ	syo	sho
た	タ	ta	ta
ち	チ	ti	chi
つ	ツ	tu	tsu
て	テ	te	te
と	ト	to	to
ちゃ	チャ	tya	cha
ちゅ	チュ	tyu	chu
ちょ	チョ	tyo	cho
な	ナ	na	na
に	ニ	ni	ni
ぬ	ヌ	nu	nu
ね	ネ	ne	ne
の	ノ	no	no
にゃ	ニャ	nya	nya
にゅ	ニュ	nyu	nyu
にょ	ニョ	nyo	nyo
は	ハ	ha	ha
ひ	ヒ	hi	hi
ふ	フ	hu	fu
へ	ヘ	he	he
ほ	ホ	ho	ho
ひゃ	ヒャ	hya	hya
ひゅ	ヒュ	hyu	hyu
ひょ	ヒョ	hyo	hyo
ま	マ	ma	ma
み	ミ	mi	mi
む	ム	mu	mu
め	メ	me	me
も	モ	mo	mo
みゃ	ミャ	mya	mya
みゅ	ミュ	myu	myu
みょ	ミョ	myo	myo
ら	ラ	ra	ra
り	リ	ri	ri
る	ル	ru	ru
れ	レ	re	re
ろ	ロ	ro	ro
りゃ	リャ	rya	rya
りゅ	リュ	ryu	ryu
りょ	リョ	ryo	ryo
わ	ワ	wa	wa
ゐ	ヰ	wi	wi
ゑ	ヱ	we	we
を	ヲ	wo	wo
ゐゃ	ヰャ	wya	wya
ゐゅ	ヰュ	wyu	wyu
ゐょ	ヰョ	wyo	wyo
が	ガ	ga	ga
ぎ	ギ	gi	gi
ぐ	グ	gu	gu
げ	ゲ	ge	ge
ご	ゴ	go	go
ぎゃ	ギャ	gya	gya
ぎゅ	ギュ	gyu	gyu
ぎょ	ギョ	gyo	gyo
ざ	ザ	za	za
じ	ジ	zi	ji
ず	ズ	zu	zu
ぜ	ゼ	ze	ze
ぞ	ゾ	zo	zo
じゃ	ジャ	zya	ja
じゅ	ジュ	zyu	ju
じょ	ジョ	zyo	jo
だ	ダ	da	da
ぢ	ヂ	di	dji
づ	ヅ	du	dzu
で	デ	de	de
ど	ド	do	do
ぢゃ	ヂャ	dya	dja
ぢゅ	ヂュ	dyu	dju
ぢょ	ヂョ	dyo	djo
ば	バ	ba	ba
び	ビ	bi	bi
ぶ	ブ	bu	bu
べ	ベ	be	be
ぼ	ボ	bo	bo
びゃ	ビャ	bya	bya
びゅ	ビュ	byu	byu
びょ	ビョ	byo	byo
ぱ	パ	pa	pa
ぴ	ピ	pi	pi
ぷ	プ	pu	pu
ぺ	ペ	pe	pe
ぽ	ポ	po	po
ぴゃ	ピャ	pya	pya
ぴゅ	ピュ	pyu	pyu
ぴょ	ピョ	pyo	pyo
くゎ	クヮ	kwa	kwa
くゐ	クヰ	kwi	kwi
くゑ	クヱ	kwe	kwe
くを	クヲ	kwo	kwo
くゐゃ	クヰャ	kwya	kwya
くゐゅ	クヰュ	kwyu	kwyu
くゐょ	クヰョ	kwyo	kwyo
ぐゎ	グヮ	gwa	gwa
ぐゐ	グヰ	gwi	gwi
ぐゑ	グヱ	gwe	gwe
ぐを	グヲ	gwo	gwo
ぐゐゃ	グヰャ	gwya	gwya
ぐゐゅ	グヰュ	gwyu	gwyu
ぐゐょ	グヰョ	gwyo	gwyo
ん	ン	n	n
っ	ッ	q	q
