#韻母拼音,攝,等,呼,韻母名稱(平上去入)
a	果	一	開	歌哿箇
ua	果	一	合	戈果過
Ia	果	三	開	戈果過		#与假攝麻韻重韻，但較少見，用Ia代替
ya	果	三	合	戈果過
ra	假	二	開	麻馬禡
rua	假	二	合	麻馬禡
ia	假	三	開	麻馬禡
ai	蟹	一	開	咍海代
uai	蟹	一	合	灰賄隊
rai	蟹	二	開	皆駭怪
ruai	蟹	二	合	皆駭怪
re	蟹	二	開	佳蟹卦
rue	蟹	二	合	佳蟹卦
e	蟹	四	開	齊薺霽
ue	蟹	四	合	齊薺霽
ad	蟹	一	開	泰
uad	蟹	一	合	泰
rad	蟹	二	開	夬
ruad	蟹	二	合	夬
iad	蟹	三	開	廢
yad	蟹	三	合	廢
ied	蟹	三	開	祭
yed	蟹	三	合	祭
au	效	一	開	豪晧号
rau	效	二	開	肴巧效
ieu	效	三	開	宵小笑
eu	效	四	開	蕭篠嘯
ie	止	三	開	支紙寘
ye	止	三	合	支紙寘
ii	止	三	開	脂旨至
yi	止	三	合	脂旨至
i	止	三	開	之止志
ioi	止	三	開	微尾未
yoi	止	三	合	微尾未
o	遇	一	開	模姥暮
io	遇	三	開	魚語御
yo	遇	三	合	虞麌遇
u	流	一	開	侯厚候
iu	流	三	開	尤有宥
y	流	三	開	幽黝幼
ang	宕	一	開	唐蕩宕鐸
uang	宕	一	合	唐蕩宕鐸
iang	宕	三	開	陽養漾藥
yang	宕	三	合	陽養漾藥
rang	梗	二	開	庚梗映陌
ruang	梗	二	合	庚梗映陌
reng	梗	二	開	耕耿诤麥
rueng	梗	二	合	耕耿诤麥
Ieng	梗	三	開	庚梗映陌	#与清韻重韻，只拼幫、見組重紐B類与莊組，用Ieng代替
Yeng	梗	三	合	庚梗映陌	#与清韻重韻，只拼幫、見組重紐B類与莊組，用Yeng代替
ieng	梗	三	開	清靜勁昔
yeng	梗	三	合	清靜勁昔
eng	梗	四	開	青迥徑錫
ueng	梗	四	合	青迥徑錫
ong	曾	一	開	登等嶝德
uong	曾	一	合	登等嶝德
ing	曾	三	開	蒸拯証職
yng	曾	三	合	蒸拯証職	#其實只有入声
ung	通	一	開	東董送屋
uung	通	一	開	冬湩宋沃	#湩韻字少，廣韻中歸腫韻，依韻典網單列
yung	通	三	開	鍾腫用燭
iung	通	三	開	東董送屋
rung	江	二	開	江講絳覺
an	山	一	開	寒旱翰曷
uan	山	一	合	桓緩換末
ran	山	二	開	刪潸諫鎋
ruan	山	二	合	刪潸諫鎋
ren	山	二	開	山産襇黠
ruen	山	二	合	山産襇黠
ian	山	三	開	元阮願月
yan	山	三	合	元阮願月
ien	山	三	開	仙獮線薛
yen	山	三	合	仙獮線薛
en	山	四	開	先銑霰屑
uen	山	四	合	先銑霰屑
on	臻	一	開	痕很恨麧	#麧韻字少，廣韻中歸沒韻，依韻典網單列
uon	臻	一	合	魂混慁沒
ion	臻	三	開	欣隱焮迄
yon	臻	三	合	文吻問物
in	臻	三	開	眞軫震質
yn	臻	三	合	諄準稕術
In	臻	三	開	臻齔櫬櫛	#与眞韻重韻，只拼莊組，用In代替。齔韻字少，廣韻中歸隱韻，韻典網單列作𧤛韻，但此字不在BMP內，以齔字代替。櫬韻字少，廣韻中歸焮韻，依韻典網單列
Yn	臻	三	合	眞軫震質	#与諄韻重韻，只拼幫、見組重紐B類，用Yn代替
am	咸	一	開	談敢闞盍
om	咸	一	開	覃感勘合
ram	咸	二	開	銜檻鑑狎
rem	咸	二	開	咸豏陷洽
iam	咸	三	開	嚴儼釅業
yam	咸	三	合	凡范梵乏
iem	咸	三	開	鹽琰豔葉
em	咸	四	開	添忝㮇怗
im	深	三	開	侵寝沁緝
